Fecha,tas [K]
1885-09-16 00:00:00,288.10382
1885-10-16 12:00:00,288.68246
1885-11-16 00:00:00,288.9247
1885-12-16 12:00:00,289.60333
1886-01-16 12:00:00,290.1388
1886-02-15 00:00:00,291.09827
1886-03-16 12:00:00,291.42432
1886-04-16 00:00:00,290.91022
1886-05-16 12:00:00,290.82144
1886-06-16 00:00:00,289.0996
1886-07-16 12:00:00,288.75897
1886-08-16 12:00:00,287.63696
1886-09-16 00:00:00,288.52045
1886-10-16 12:00:00,288.86615
1886-11-16 00:00:00,289.2782
1886-12-16 12:00:00,290.4082
1887-01-16 12:00:00,291.23053
1887-02-15 00:00:00,291.70166
1887-03-16 12:00:00,291.41357
1887-04-16 00:00:00,290.9752
1887-05-16 12:00:00,291.67188
1887-06-16 00:00:00,290.2234
1887-07-16 12:00:00,289.3388
1887-08-16 12:00:00,288.63446
1887-09-16 00:00:00,288.86966
1887-10-16 12:00:00,288.94556
1887-11-16 00:00:00,288.9242
1887-12-16 12:00:00,290.3758
1888-01-16 12:00:00,290.96704
1888-02-15 12:00:00,292.221
1888-03-16 12:00:00,291.85382
1888-04-16 00:00:00,292.7772
1888-05-16 12:00:00,293.53854
1888-06-16 00:00:00,291.7771
1888-07-16 12:00:00,289.89627
1888-08-16 12:00:00,289.39844
1888-09-16 00:00:00,288.8731
1888-10-16 12:00:00,290.2005
1888-11-16 00:00:00,290.06415
1888-12-16 12:00:00,291.03143
1889-01-16 12:00:00,291.36267
1889-02-15 00:00:00,291.90588
1889-03-16 12:00:00,292.70758
1889-04-16 00:00:00,292.27435
1889-05-16 12:00:00,291.44608
1889-06-16 00:00:00,290.94293
1889-07-16 12:00:00,289.93964
1889-08-16 12:00:00,289.21097
1889-09-16 00:00:00,289.0807
1889-10-16 12:00:00,289.24048
1889-11-16 00:00:00,290.60168
1889-12-16 12:00:00,290.85577
1890-01-16 12:00:00,291.20258
1890-02-15 00:00:00,291.757
1890-03-16 12:00:00,291.77426
1890-04-16 00:00:00,291.9911
1890-05-16 12:00:00,290.89868
1890-06-16 00:00:00,289.25168
1890-07-16 12:00:00,288.4864
1890-08-16 12:00:00,290.5514
1890-09-16 00:00:00,288.07568
1890-10-16 12:00:00,288.88812
1890-11-16 00:00:00,289.15063
1890-12-16 12:00:00,289.26828
1891-01-16 12:00:00,290.813
1891-02-15 00:00:00,292.1737
1891-03-16 12:00:00,291.65375
1891-04-16 00:00:00,292.9763
1891-05-16 12:00:00,291.5093
1891-06-16 00:00:00,291.15454
1891-07-16 12:00:00,288.2395
1891-08-16 12:00:00,289.0891
1891-09-16 00:00:00,286.4795
1891-10-16 12:00:00,287.8656
1891-11-16 00:00:00,288.8407
1891-12-16 12:00:00,289.73676
1892-01-16 12:00:00,290.6737
1892-02-15 12:00:00,291.29462
1892-03-16 12:00:00,291.09607
1892-04-16 00:00:00,290.78772
1892-05-16 12:00:00,290.34082
1892-06-16 00:00:00,289.34174
1892-07-16 12:00:00,290.00815
1892-08-16 12:00:00,288.50253
1892-09-16 00:00:00,290.3629
1892-10-16 12:00:00,289.20337
1892-11-16 00:00:00,289.60593
1892-12-16 12:00:00,290.68243
1893-01-16 12:00:00,290.62677
1893-02-15 00:00:00,291.6424
1893-03-16 12:00:00,291.8408
1893-04-16 00:00:00,291.8512
1893-05-16 12:00:00,290.38968
1893-06-16 00:00:00,291.70984
1893-07-16 12:00:00,290.60852
1893-08-16 12:00:00,288.5672
1893-09-16 00:00:00,288.9571
1893-10-16 12:00:00,288.87427
1893-11-16 00:00:00,289.86505
1893-12-16 12:00:00,290.08044
1894-01-16 12:00:00,292.2233
1894-02-15 00:00:00,291.93317
1894-03-16 12:00:00,292.23407
1894-04-16 00:00:00,291.7641
1894-05-16 12:00:00,290.91608
1894-06-16 00:00:00,290.55658
1894-07-16 12:00:00,290.0953
1894-08-16 12:00:00,289.4782
